scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,variety,egypt,2584,1291,1293,False,-1.10014192,calibration,0.467404,0.413148,0.498418,0.474268,0.000775,0.009295,0.036406,0.901005,0.95437,0.993039,0.500387,0.500001,0.500387,0.5,0.000775,0.001547,2.2e-05,-0.065192,0.349702,0.272156,2.553455,14.946768,,,,,
finetuning,loss,variety,great britain,1730,871,859,False,-3.46531568,calibration,0.531676,0.492327,0.573259,0.52705,0.002296,0.006889,0.067738,0.880093,0.930151,0.990687,0.517919,0.519444,0.503468,0.538144,0.299656,0.384956,0.043287,0.063352,0.317583,0.228757,3.626345,42.492627,,,,,
finetuning,loss,variety,gulf,2436,1196,1240,False,-1.88702617,calibration,0.512731,0.470427,0.541535,0.501316,0.000836,0.008361,0.055184,0.904032,0.959677,0.989516,0.512315,0.506119,0.509031,0.510471,0.163043,0.247148,0.016824,0.025463,0.327036,0.232861,2.562419,14.796427,,,,,
finetuning,loss,variety,ireland,1612,839,773,False,-3.92874504,calibration,0.504361,0.448009,0.538798,0.522998,0.0,0.014303,0.060787,0.883571,0.936611,0.979301,0.511166,0.502102,0.520471,0.521926,0.72348,0.606394,0.004686,0.008723,0.331258,0.247053,3.625371,42.594165,,,,,
finetuning,loss,variety,levantine,2608,1288,1320,False,-2.89374844,calibration,0.43807,0.403235,0.469583,0.44888,0.001553,0.011646,0.02795,0.927273,0.975,0.997727,0.463957,0.465533,0.506135,0.466463,0.593944,0.522541,-0.071338,-0.12386,0.36437,0.299943,2.697921,16.157641,,,,,
finetuning,loss,variety,maghrebi,2687,1388,1299,False,-2.17262176,calibration,0.51157,0.471152,0.550976,0.536654,0.0,0.012968,0.068444,0.908391,0.962279,0.990762,0.50949,0.517565,0.516561,0.550725,0.273775,0.365736,0.040185,0.02314,0.327615,0.242092,2.551414,14.722442,,,,,
finetuning,loss,variety,mexico,1554,793,761,False,-4.00202434,calibration,0.480328,0.444598,0.526009,0.507473,0.005044,0.016393,0.059269,0.926413,0.969777,0.996058,0.484556,0.479896,0.510296,0.496454,0.706179,0.58303,-0.045058,-0.039344,0.343279,0.259813,3.737492,46.477013,,,,,
finetuning,loss,variety,new zealand,1667,814,853,False,-3.44471076,calibration,0.477072,0.450166,0.506344,0.472784,0.0,0.007371,0.040541,0.920281,0.962485,0.994138,0.505099,0.497484,0.511698,0.4811,0.17199,0.253394,-0.006626,-0.045856,0.344898,0.268446,3.75583,46.296672,,,,,
finetuning,loss,variety,peru,1455,747,708,False,-3.22835158,calibration,0.500822,0.457719,0.537824,0.498745,0.0,0.0,0.032129,0.877119,0.937853,0.981638,0.480412,0.491542,0.513402,0.463415,0.076305,0.131034,-0.030391,0.001645,0.333037,0.253567,3.88224,55.848149,,,,,
finetuning,loss,variety,portugal,4737,2350,2387,False,-4.15229515,calibration,0.509389,0.481818,0.536694,0.491304,0.0,0.002979,0.031915,0.874738,0.937579,0.984499,0.505172,0.505597,0.503905,0.501142,0.56,0.528939,0.01126,0.018778,0.328673,0.249314,4.057988,63.951439,,,,,
finetuning,loss,variety,spain,1621,789,832,False,-3.49417173,calibration,0.511957,0.478855,0.554585,0.505341,0.003802,0.012674,0.055767,0.884615,0.944712,0.99399,0.528069,0.519532,0.513263,0.541667,0.197719,0.289694,0.051083,0.023914,0.327458,0.244911,3.851046,51.778834,,,,,
finetuning,loss,variety,united states,1802,914,888,False,-3.72960749,calibration,0.463757,0.422578,0.502341,0.475534,0.0,0.007659,0.02407,0.920045,0.959459,0.992117,0.472808,0.471577,0.507214,0.482922,0.556893,0.517276,-0.057678,-0.072486,0.351554,0.270122,3.579257,40.084155,,,,,
finetuning,loss,variety,venezuela,1568,763,805,False,-3.65151189,calibration,0.499187,0.457368,0.544219,0.485294,0.0,0.006553,0.053735,0.913043,0.951553,0.995031,0.503827,0.500496,0.513393,0.487267,0.376147,0.424556,0.001023,-0.001626,0.333846,0.249522,3.732355,48.567081,,,,,
finetuning,loss,gender_language,G0|ar,5189,2595,2594,False,-2.17284502,calibration,0.511506,0.490629,0.53707,0.512343,0.0,0.010019,0.055106,0.888975,0.956438,0.991904,0.516863,0.516915,0.500096,0.537099,0.245472,0.336948,0.040283,0.023013,0.327611,0.246868,2.606046,15.375328,,,,,
finetuning,loss,gender_language,G0|en,5146,2580,2566,False,-3.57098003,calibration,0.500662,0.473685,0.523446,0.499623,0.001163,0.009302,0.046899,0.881917,0.944271,0.985191,0.505441,0.505766,0.50136,0.508933,0.386434,0.439304,0.011875,0.001323,0.333035,0.246939,3.597732,41.010259,,,,,
finetuning,loss,gender_language,G0|es,5157,2587,2570,False,-3.97295225,calibration,0.509784,0.490007,0.532195,0.506012,0.000773,0.008118,0.052571,0.896887,0.94786,0.989105,0.508823,0.508488,0.501648,0.508704,0.609973,0.554755,0.017338,0.019568,0.328473,0.237153,3.810528,51.150038,,,,,
finetuning,loss,gender_language,G0|pt,5160,2575,2585,False,-4.4750244,calibration,0.519299,0.470947,0.550441,0.497272,0.0,0.001942,0.03767,0.862669,0.924178,0.976789,0.524612,0.525202,0.500969,0.514699,0.829515,0.635242,0.063519,0.038599,0.323714,0.234351,4.062167,66.009763,,,,,
finetuning,loss,gender_language,G1|ar,5126,2568,2558,False,-1.24550174,calibration,0.454314,0.431174,0.476103,0.471862,0.001168,0.008567,0.042835,0.929633,0.969116,0.992572,0.49922,0.50019,0.500975,0.538462,0.002726,0.005424,0.00378,-0.091372,0.356213,0.281652,2.576908,14.939973,,,,,
finetuning,loss,gender_language,G1|en,5184,2599,2585,False,-3.68859789,calibration,0.482707,0.46236,0.501407,0.480822,0.0,0.001924,0.037707,0.907544,0.952418,0.989168,0.490934,0.49107,0.50135,0.491416,0.440554,0.464597,-0.017952,-0.034586,0.342014,0.257957,3.683568,43.934665,,,,,
finetuning,loss,gender_language,G1|es,5133,2560,2573,False,-3.46675214,calibration,0.49012,0.467316,0.511199,0.49063,0.002734,0.008984,0.042578,0.900894,0.951807,0.989118,0.494448,0.493603,0.501266,0.479532,0.160156,0.240117,-0.017168,-0.01976,0.338307,0.254432,3.869965,53.903604,,,,,
finetuning,loss,gender_language,G1|pt,5129,2548,2581,False,-4.01600636,calibration,0.528588,0.493109,0.555737,0.520004,0.000785,0.012166,0.058477,0.885703,0.935684,0.986052,0.522714,0.52226,0.503217,0.522707,0.451727,0.484632,0.044971,0.057176,0.31907,0.229479,4.03278,63.977768,,,,,
finetuning,loss,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.499636,0.4834,0.040125,0.923357
finetuning,loss,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.496074,0.43807,0.096211,0.819924
finetuning,loss,gender_language_summary,summary:gender_language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.499623,0.454314,0.074274,0.859486
finetuning,loss,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.006305,0.500497,0.497344,0.006305,0.987481
finetuning,reference,all,all,41224,20612,20612,False,0.25269629,calibration,0.50347,0.493807,0.512366,0.50072,0.001358,0.009072,0.046526,0.898603,0.947506,0.988599,0.501528,0.501528,0.5,0.500931,0.822434,0.622629,0.003986,0.006941,0.331602,0.247192,3.529543,43.770165,,,,,
finetuning,reference,gender,G0,20652,10337,10315,False,0.25184685,calibration,0.503822,0.491129,0.518253,0.502023,0.001064,0.00919,0.049434,0.899273,0.946292,0.989239,0.503002,0.502683,0.500533,0.502211,0.801973,0.617643,0.006699,0.007645,0.33143,0.245315,3.517741,43.347496,,,,,
finetuning,reference,gender,G1,20572,10275,10297,False,0.47063785,calibration,0.503261,0.493172,0.516515,0.499669,0.000973,0.009246,0.046521,0.896863,0.948334,0.987181,0.501458,0.501329,0.500535,0.501217,0.38073,0.432743,0.00274,0.006521,0.331711,0.246658,3.541392,44.194477,,,,,
finetuning,reference,language,ar,10315,5163,5152,False,0.66828468,calibration,0.495551,0.476596,0.510658,0.500809,0.001743,0.012202,0.052683,0.904503,0.951669,0.990877,0.499467,0.499995,0.500533,0.5,0.004648,0.009211,-7.3e-05,-0.008898,0.335574,0.251915,2.591566,15.15898,,,,,
finetuning,reference,language,en,10330,5179,5151,False,0.71840203,calibration,0.504894,0.489765,0.519623,0.504003,0.002703,0.009268,0.049044,0.896719,0.947001,0.98544,0.498064,0.499258,0.501355,0.495114,0.058699,0.104954,-0.003138,0.009788,0.330902,0.247604,3.640808,42.477841,,,,,
finetuning,reference,language,es,10290,5147,5143,False,0.33679039,calibration,0.507599,0.495429,0.518353,0.502667,0.001554,0.009909,0.046241,0.885864,0.941085,0.986778,0.509427,0.509323,0.500194,0.506284,0.77482,0.612408,0.022006,0.015199,0.32955,0.245068,3.840177,52.52361,,,,,
finetuning,reference,language,pt,10289,5123,5166,False,0.26470128,calibration,0.502599,0.472935,0.520918,0.493814,0.0,0.007027,0.041382,0.893728,0.943477,0.987224,0.497522,0.498768,0.50209,0.497139,0.796994,0.612328,-0.00307,0.005198,0.33205,0.246866,4.047518,64.996827,,,,,
finetuning,reference,variety,argentina,1197,608,589,False,0.33831045,calibration,0.508992,0.463484,0.546141,0.511178,0.004934,0.008224,0.039474,0.911715,0.943973,0.989813,0.521303,0.518543,0.507937,0.521685,0.692434,0.595053,0.03956,0.017983,0.328974,0.242323,3.952914,57.85499,,,,,
